comment,n_star,BATTERY,CAMERA,DESIGN,FEATURES,GENERAL,PERFORMANCE,PRICE,SCREEN,SER&ACC,STORAGE
Sản phẩm wa tệ thua samsung a5 2017.đt đang xài tự dưng màn hình tối lại.hình ảnh bị nhòe.nhanh hết pin.chụp màn hình khó.cài đặt nhạc chuông đc hơn 1 ngày.tự dưng nhảy về nhạc chuông mặc định,1,Negative,None,None,Negative,Negative,None,None,Negative,None,None
"Máy đẹp xem yutub mạng4g không rõ nét.pin ổn phục vụ OK,mua sản phẩm online kèm quà tặng loa giá đỡ",3,Positive,None,Positive,None,None,None,None,Negative,Positive,None
"Mới mua máy hơn một tuần sài cũng không hài lòng lắm, pin tụt càng ngày càng nhanh, cấu hình tệ hơn oppo k3 trước của mình sài con chip snap 710, camera tạm ổn sắc nét hơn a50 mình dùng trc đây nhưng mình lại thích ảo giống a50 hơn, vỏ nhựa kém sang tuy nhiên đở nóng máy khi chơi game. Trọng lượng máy nhẹ, mỏng, cầm vừa tay. Thái độ nhân viên phục vụ luôn làm mình hài lòng.",3,Negative,Positive,Neutral,None,Positive,Negative,None,None,Positive,None
Qua một tháng sử dụng pin tụt nhanh quá xài nhiều phải sạc pin hai lần cũng may củ sạc nhanh nếu không chắc phải đổi con khác.Wifi bắt hơi yếu thì phải không biết mọi người có bị không,4,Negative,None,None,Negative,None,None,None,None,None,None
"Còn thua cả realme c2,vivo y91c và oppo a1k thật sự quá thất vọng về samsung ",1,None,None,None,None,None,None,None,None,Negative,None
Vừa mua xong . Mn người nên đặc hàng online trước để có quà tặng nhé:))) sảm phẩn rất okr,4,None,None,None,None,Positive,None,None,None,None,None
Điện thoại hơi nhiều lỏi 1 là ko cấm tay nghe những vẫn hiện biểu tượng tai nghe ..2 loi camera bị nhiễu màu,3,None,Negative,None,Negative,None,Negative,None,None,None,None
Quá chán sai lầm khi mua con máy này . Mới mua 2 tuần mà đã bị treo máy khi vô zalo rồi.,1,None,None,None,None,Negative,Negative,None,None,None,None
Mới vừa mua em nó hôm nay sử dụng ban đầu thì cảm thấy khá mượt pin trâu màn hình super amoled full hd+ thì khỏi phải bàn xuất sắt rất thích thái độ của nhân viên thế giới di động rất nhiệt tình,5,Positive,None,None,None,None,Positive,None,Positive,Positive,None
"Căn bản sau 2 tháng không có gì phàn nàn. Nhưng đến hôm nay sử dụng note đã xuất hiện khoảng đen tròn trên nền. Không viết được vào khoảng đen đó. Có bảo hành không, và bảo hành như thế nào ?",4,None,None,None,None,Neutral,None,None,Negative,None,None
Cho e hỏi với ạ!!! Dt e mới mua!!! Mà e sạc đầy 100%. Mà sài dc 5p thi nó đến 10% là do máy mới hay s ạ,4,Negative,None,None,None,None,None,None,None,None,None
Một thương hiệu lớn mà k bảo hành được cái máy tôi mua 1 cái sam sung galaxy a10s dùng chưa được 4 tháng đã bị đơ đơ cộng sập nguồn mà đem tới hẹn 1 tuần tới khi nhận được còn bị sập nguồn nặng hơn,1,None,None,None,None,None,Negative,None,None,Negative,None
"Máy này mình mới mua gần một tháng chạy ứng dụng đi làm, nhưng có hiện tượng vài ngày là lỗi camera, hay đơ màn hình khi dùng, mỗi lần như vậy đều phải khởi động máy lại",3,None,Negative,None,None,None,Negative,None,None,None,None
"Khá thất vọng sau khi dùng 3 tuần 
Máy bị lỗi bóng mờ
Pin nhanh trai (theo 1 số ứng dụng như antutu và 1 số khác thì độ chai đã là 7%)
Bắt wifi cực kém hay bị chập chờn
Còn 1 số lỗi nhỏ nữa",2,Negative,None,None,Negative,Negative,Negative,None,Negative,None,None
"Sản phẩm tốt,, nhưng máy có 3 camera sau, chỉ 1 camera hoạt động...
Mong thế giới di động phản hồi,đang bức xúc",4,None,None,Negative,None,None,None,None,None,None,None
"Quá tuyệt vời không có gì để chê cả nhân viên phục vụ tốt nhiệt tình, máy đẹp cấu hình ổn trong tầm giá... Một sản phẩm tuyệt vời đến từ việt nam",5,None,None,Positive,None,Positive,Positive,Neutral,None,Positive,None
"Nhân viên tại thị trấn cần giuộc huyện cần giuộc rất nhiệt tình và dễ thương. Máy xài ban đầu thấy oke, sẽ giới thiệu bạn bè",5,None,None,None,None,Positive,None,None,None,Positive,None
"Mình mua phẩm này 8 tháng rồi,mà gủi sữa bảo hành tại tháng hết 3 lần rồi,mình sài điện thoại rất kĩ,điện thoại hư do lỗi bên trong máy không à",1,None,None,None,None,None,Negative,None,None,None,None
"Sản phẩm sự dụng khá ổn trong tâmg giá, thích nhất là cái sạc nhanh và chụp hình. Cực kỳ đẹp luôn, chụp ảnh hay chân dung là quá xuất sắc. Mấy con máy khác chụp ko bằng, so với V17 pro thì V17 pro ra ngoài chuồng gà",5,Positive,Positive,None,None,Positive,None,Neutral,None,None,None
"Mk mua hồi tháng 12 dùng cũng thấy ổn so với giá tiền  pin trâu,  lâu lâu hơi đơ chút nhưng không sao, chụp ảnh nét, chỉ có điều là tìm mua ốp với cường lực chỗ mk hơi hiếm..",5,Positive,Positive,None,None,Positive,Negative,Neutral,None,Negative,None
"Rất đẹp các bạn nên mua a51 trải nghiêm đẹp pin tốt,màn hình sáng mặt lưng màu trắng",5,Positive,None,Positive,None,None,None,None,Positive,None,None
chip snapdragon 855 thì khỏi chê rồi. Thích máy này vì có cụm camera ổn đặc biệt có camera macro cùng chip cao cấp snap 855 với giá chỉ hơn 10tr quá ngon,5,None,Positive,None,None,Positive,Positive,Positive,None,None,None
"Mới dùng dc 6 tháng mà máy bị treo, đơ máy liên tục, pin cực yếu,, nói chung theo cá nhân mình vs số tiền này k nên mua",2,Negative,None,None,None,None,Negative,Negative,None,None,None
"Tôi mua A51 đc hơn tuần ,tôi thấy pin nhanh xuống mặc dù tôi k sử dụng. Tôi mua về chưa sử dụng gì mấy. Mà máy hay xuống pin.",2,Negative,None,None,None,None,None,None,None,None,None
Mua ngay ngày đầu mới ra. Đã cập nhật phần mềm khả năng bắt wifi cải thiện không đáng kể. Hai máy đặt xác nhau cái đầy sóng Joy 3 không được miếng nào,3,None,None,None,Negative,None,None,None,None,None,None
"Sản phẩm chất lượng. Mượt, cấu hình cao, sử dụng ko có tình trạng giật lag.",5,None,None,None,None,Positive,Positive,None,None,None,None
Tệ hơi giật nhẹ chưa test game đã như vậy . Chụp ảnh tạm đc . Nhận diện khuôn mặt kém .,3,None,Neutral,None,Negative,Negative,Negative,None,None,None,None
"Xài 1 tháng mấy rồi đt vivo u10 này giá này thì ok,pin trâu khỏi chê màn hình nhạy bén lắm nha chơi game thì ok mượt tốt nghe nhạc ok, bắt sóng wifi mạnh không như người khác nói nha, 4g mạnh nha, màn hình thì to camera ok đt giá tầm này thì ok rồi còn chê gì nữa không biết mua tgdđ nhiệt tình nha mình cho 5 sao...",5,Positive,Positive,None,Positive,Positive,Positive,None,Positive,Positive,None
Wifi quá kém. Máy lỗi cảm biến khi gọi màn hình đen thui muốn kết thúc cuộc gọi không được. Tắt nguồn cũng không được. Phải chờ bên kia kết thúc cuộc gọi màn hình mới sáng lại.,3,None,None,None,Negative,None,Negative,None,None,None,None
"Tất cả đều ổn chỉ có cái pin tụt nhanh ko sài cũg mất pin, pin ko trâu bằg samsung, mà khi đó đã chạy màn hình super AMOLED, còn còn này sạc đầy 100% để từ 2h tới 7h30 mất 2%",3,Negative,None,None,None,Positive,None,None,None,None,None
"Mới lấy hôm nay, không còn gì để chê về sản phẩm. Mọi thứ đều rất ok từ màn hình đến camera và dung lượng pin. Mọi người nên dùng màn hình 120hz để cảm nhận hết chất lượng sản phẩm. 5 sao cho siêu phẩm năm nay của samsung ",5,Positive,Positive,None,None,Positive,None,None,Positive,Positive,None
"Điện thoại không dùng, đóng tất cả các ứng dụng chạy ngầm rồi mà bin tụt 8%x vào mạng Lướt web thôi mà 3 phút tụt 4% rồi",1,Negative,None,None,None,None,None,None,None,None,None
Cảm biến van tay quá tệ. Lúc được lúc ko. Mới mua 3 ngày. Ko chơi game chi nghe goi pin tuột nhanh. Nói chung ko ok,1,Negative,None,None,Negative,Negative,None,None,None,None,None
"Máy khá mượt nhưng sau khi 1 tháng sử dụng thì cảm thấy hơn bị tụt pin,có khi đứng máy .",3,Negative,None,None,None,None,Neutral,None,None,None,None
"Mình đã mua iPhone 7 plus cảm giác thật tuyệt  đã chọn em nó , máy dùng quá mượt,   pin trâu , camera chụp xoá phông rất ok , nói chung không có gì để bàn",5,Positive,Positive,None,None,Positive,Positive,None,None,None,None
"Đang dùng ip7+ chuyển sang ssa70 phát chán hẳn. Được cái là nhân viên ngoại hình đẹp, giao tiếp tốt, nhiệt tình",2,Positive,None,None,Positive,Negative,Positive,None,Positive,Negative,None
"Máy dùng mượt, pin khoẻ, hy vọng duy trì được lâu dài, đáp ứng đủ pin 2 ngày với các tác vụ vào web, lướt face, zalo, youtube,...",5,Positive,None,None,None,None,Positive,None,None,None,None
"Samsung đã biết nhận ra điểm yếu của mình rồi , tấm nền amoled dùng cho màng 6.5 hd+ thì nhìn rỗ và nhem màu ở cạnh viền cửa sổ ứng dụng và màng hình , còn các tấm nền phổ thông dùng cho màng 6.5 hd+ thì lại ko bị các lỗi đó , đem chất lượng tốt tới còn hơn là ép người dùng sử dụng theo nhu cầu :))",5,None,None,None,None,None,None,None,Negative,None,None
"Máy mượt game ổn bắt wifi tốt. Màn hình đẹp. Pin trâu
Nhưng phần camer sau bị rò điện khi sạc ko bt có sao ko ",4,Positive,None,Positive,Positive,None,Positive,None,Positive,None,None
"M mua dịp sinh nhật  của  tgdđ , m mua con này  theo cảm nhận  thì  con này  tốt  trong  tầm giá,  mọi  thứ  đều ổn,  chỉ  có  điều  pin tuột  hoi  nhanh  1 chút",4,Negative,None,None,None,Positive,None,Neutral,None,None,None
"Mình mua hôm 30/04, dùng mới được gần một tháng mà máy cực mau hết pin, lại còn mau nóng máy nữa...",2,Negative,None,None,None,None,Negative,None,None,None,None
"Điện thoại pin trâu,chụp hình ok và giá thì sinh viên
Siêu rẻ nhưng chất lượng không thể chê",5,Positive,Positive,None,None,Positive,None,Positive,None,None,None
"Mình mua sản phẩm 1 ngày dùng tất cả đều ổn cho đến khi hết pin mình sạc lần đầu tiên, dù sạc 8 tiếng 30 phút nhưng pin cứ 79% và không lên pin sau đó. Để bao lâu vẫn cứ 79%. Mình thấy buồn và thất vọng khi mua sản phẩm này ạ. Ai mua thì nên cân nhắc, sản phẩm dễ bị lỗi khi mới mua về. Mình đọc nhận xét bên dưới cũng có người bị lỗi như thế này.",1,Negative,None,None,None,Negative,None,None,None,None,None
"Máy khá ngon chơi game ổn , nhưng lâu lâu lại bị đơ màn hình ( tắt máy thì mở lại không được,phải 1 lúc sau mới mở được . Còn về mảng xem phim trên YouTube thì lúc phóng to màn hình thì tua đôi khi không được.Mình nghỉ trong tầm giá NV là khá ngon rồi ! Cảm ơn .",5,None,None,None,None,Positive,Positive,Neutral,None,None,None
"Biết rằng tiền nào của ấy. Xong điện thoại dùng để ghe gọi và nhắn tin. Nhưng riêng về màn hình cảm ứng con này quá chán. Ấn không nhận, phải ấn mấy lần mới nhận. Đang vội mà nhắn tin con này chắc đập máy quá,tức không chịu được. Quảng cáo thì hay nhưng thực tế quá tệ. Sai lầm khi mua. Mới dùng được 2 ngày mà cảm nhận quá thất vọng so với quảng cáo. Mọi người cân nhắc tầm tiền đó lựa chọn mà dùng.",2,None,None,None,Negative,Negative,None,None,None,None,None
"Mình mới mua được 1 tuần nhu cầu không quá cao nên thấy máy chạy rất tốt các ứng dụng thông dụng pin sử dụng rất lâu mình thấy rất ok.cảm thấy hài lòng với mức giá.Nếu ai cần một chiếc điện thoại pin trâu sử dụng nghe gọi,fb,zalo và ứng dụng đơn giản thì đây  là chiếc máy rất ok.",5,Positive,None,None,None,Positive,Positive,Neutral,None,None,None
Dùng tốt nhưng có cái thất vọng là ko sạc nhanh pin trâu chơi game mượt camera ko còn gì phải chê,5,Neutral,Positive,None,None,Positive,Positive,None,None,None,None
Nói chung 5 triệu vậy quá ok rồi.Camera chụp khá đẹp.pin trâu.,5,Positive,Positive,None,None,Positive,None,Neutral,None,None,None
"Mua máy nokia 2.3 tầm được 1 tuần. Máy cầm nắm tốt, pin trâu trụ được 1 ngày chơi game ổn, các tác vụ cơ bản mượt, máy dùng android one hỗ trợ dài. Mãi iu Nokia <3",5,Positive,None,Positive,None,None,Positive,None,None,Positive,None
"Máy tốt trong tầm giá ...
Xài ổn.. Pin trâu..
Sạc cũng nhanh.. Loa to lớn nghe nhạc xem phim tốt..",5,Positive,None,None,Positive,Positive,Positive,Neutral,None,None,None
"Sau 4 tháng dùng thì trải nghiệm vho thấy dt nàu khá tốt về camera, độ mượt khi chơi game, lướt face, độ nhạy vân tay cảm biến, nhưng pin không dc trâu như mong muốn. Nhìn chung đt này khá tốt.",5,Negative,Positive,None,Positive,Positive,Positive,None,None,None,None
"Sài ổn, máy đẹp
Camera sau rất khó lấy nét
Có lấy đc nét thì rất lâu
Pin 3340 mà mau hết lắm, chạy ứng dụng ẩn khá nhiều",3,Negative,Negative,Positive,None,Positive,Negative,None,None,None,None
"Máy mạnh xài rất ngon và tốt camera chụp hình đẹp dung lượng bộ nhớ cao chip G90T chơi game max phê với k nóng mà s bác nào cũng la chơi nóng vs lỗi trong khi mình chơi thì có cảm thấy lỗi vs nóng gì đâu nhở nóng nhìu nhất cũng 40 độ thôi là cùng nói chung máy xài rất đã và ok, nhân viên tư vấn vui vẻ cảm ơn.",5,None,Positive,None,None,Positive,Positive,None,None,Positive,Positive
Nhân viên tư vấn nhiệt tình.Máy dùng khá là ok phù hợp với giá tiền mình bỏ ra.Máy ram1g không trách khỏi lag.,5,None,None,None,None,Positive,Negative,Positive,None,Positive,None
"Thật sự tệ, mua được 7 ngày rồi. 3 ngày đầu xài pin cả ngày mới hết từ ngày thứ 4 trở đi là sạc phải sạc 2 lần/ngày. Mình chỉ dùng lướt fb, zalo thôi chứ k có cài game hay gì luôn. Cảm biến vân tay quá tệ, nhận diện khuôn mặt còn tệ hơn. Quá thất vọng về máy này, camera  trước còn thua cái dt củ mình xài hơn 2 năm, màu nhợt nhạt nhìn chán. Máy nhiều lúc đơ đơ ra, đứng máy luôn!",1,Negative,Negative,None,Negative,Negative,Negative,None,Negative,None,None
Sản phẩm tốt .pin dùng ok lắm mình sử dung cả ngày 45%. Thái độ phục vu nhân viên tgdd rất nhiệt tình .vui vẻ,5,Positive,None,None,None,Positive,None,None,None,Positive,None
"7tr đồng cho một sản phẩm có điểm antutu 135k. Ram 8Gb chỉ để làm màu.
Còn rất nhiều sản phẩm khác hợp lý hơn",2,None,None,None,None,None,Negative,Negative,None,None,None
Từ lúc sài androi tôi giờ chuyển qua ios cảm giác rất sướng . Máy mạnh không thể tả được . Máy sản xuất 2016 đến giờ vẫn còn mượt . Chứ androi thì 1.5 năm thôi là giật từng màn,5,None,None,None,None,None,Positive,None,None,None,None
"Khá là ok máy mượt pin trâu, chụp hình đẹp, chỉ có điểm trừ là pin 5000 nhưng không hỗ trợ sạc nhanh hơi tiết xíu",3,Neutral,Positive,None,None,Positive,Positive,None,None,None,None
Máy dùng rất tốt.Cam cả trc và sau chụp đẹp.Máy rất chi là sang trọng luôn.Pin Ok.Hơn nx còn có sạc pin nhanh chỉ mất khoảng 1h30 là sạc đầy,5,Positive,Positive,Positive,None,Positive,None,None,None,None,None
"Máy quá tệ hay lỗi camera, lỗi loa trong...game chơi lâu cảm giác bị lag.Mình quá thất vọng khi fan của xiaomi từ xa từ lúc sài 9s.",1,None,Negative,None,Negative,Negative,Negative,None,None,Negative,None
Máy khi gọi Zalo thì không thể lướt FB và vô mess dk. Còn lại đều được. Không pk máy bị gì. Hay bị lổi ứng dụng. Và nóng máy. Không pk máy v có bị hư không ạ,3,None,None,None,None,Positive,Negative,None,None,None,None
Máy thỉnh thoảng bị đơ cứ bấm nút nguồn lại mới dùng được là sao vậy shop. Xin được kiểm tra giúp.,1,None,None,None,None,None,Negative,None,None,None,None
"Điện thoại lướt rất là mượt ạ ! camera chụp rất là nét .
thiết kế nút home bấm rất là đã tay . Sử dụng trong công việc hay chơi game điều làm mình rất hài lòng .",5,None,Positive,Positive,None,Positive,Positive,None,None,None,None
"Sản phẩm quá tốt trong tầm giá. Đặt hàng online và đến tgdd được nhận hàng ngay. Nhân viên tư vấn tận tình, lịch sự. Cảm ơn Thế Giới Di Động đã luôn vì khách hàng.",5,None,None,None,None,Positive,None,Neutral,None,Positive,None
"Máy xài tốt ngon, pin khỏe bao xài cả ngày với các tác vụ nhẹ như lướt fb, duyệt web, chơi game nhẹ nhàng. Mua ngay hôm 14/7 còn gần 8tr. Nói chung đáng trong tầm giá",4,Positive,None,None,None,Positive,None,Neutral,None,None,None
Ok! Máy chạy mạnh! Kiểu dáng đẹp mắt! Camera chụp sắc nét! Sạc pin nhanh đầy! Android 10 quá tuyệt!,5,Positive,Positive,Positive,None,Positive,Positive,None,None,None,None
"Ảnh chụp đẹp. nhưng màn hình bị ám vàng không biết máy như vậy hay bị lỗi
Cho hỏi nếu do lỗi máy có đổi được không
Mình mua được nửa tháng",4,None,Positive,None,None,None,None,None,Positive,None,None
Chơi game ổn camera chụp xấu quá thua realme c2 mượt mà trồn tru khi chơi facebook zalo mesenger,4,None,Negative,None,None,None,Positive,None,None,None,None
Máy đẹp. Ổn định. Pin tốt. Nhân viên ok. Dùng thêm 1 thời gian nữa sẽ đánh giá thêm. Thích nhất thiết kế giọt nước ko đụng hàng với iphone,5,Positive,None,Positive,None,Positive,None,None,None,Positive,None
M mua đt hôm qua sạc tới sáng 74%rút ra đi làm 90% tự động mở màn hình vân tay lúc đk lúc ko.thật sự rất buồn ko biết làm gì bây giờ,1,Neutral,None,None,Negative,Negative,None,None,None,None,None
"Hiệu năng ăn đứt 730G, pin trâu máy mượt. Nhân Cortex A76 và GPU Mali G76 qua tuyệt vời. Vô địch trong tầm giá",5,Positive,None,None,None,Positive,Positive,Neutral,None,None,None
"Ai bị lỗi đèn flash không,lúc bật được lúc không,cảm ứng vân tay nghe thấy tiếng mở vân tay 5s sau mới sáng màn,lỗi sập nguồn nữa,dùng 10 ngày tự sập 2 lần rồi,hơi thất vọng",3,None,None,None,Negative,Negative,Negative,None,None,None,None
"Mới lấy máy chiều qua, đến hiện tại mọi thứ ok nhưng việc máy đã được khui hộp trước làm mình lấn cấn suy nghĩ liệu TGDĐ có giao mình máy cũ không.
Hy vọng sau này các bạn đưa khách xem full box trước khi mở seal cho khách an tâm.",4,None,None,None,None,None,None,None,None,Negative,None
Mình mua 2 cái cho 2con chơi game free Fire thấy chơi ok mà pin xài lâu hết . còn sạc nhanh đầy nữa. Tụi nhỏ rất thích.,5,Positive,None,None,None,Positive,Positive,None,None,None,None
Mình sài các dòng máy  8 triệu trở lên tính ra cũng mười máy cái rồi nhưng lần đầu sài xiaomi thấy rất đã  pin trâu. Mạnh hơn con chíp scom710 luôn đc cái sat nhanh hơn nữa  rất tốt,5,Positive,None,None,None,Positive,Positive,None,None,None,None
"Máy mình mua đc tầm 2 tháng. Gần đây lướt fb cỡ 5p là máy nóng ran lên, lúc trước ko có. Cho hỏi có cách nào khắc phục ko ạ",4,None,None,None,None,None,Negative,None,None,None,None
"Máy thì sài ok 
Nhưng bị lỗi quảng cáo hơi bị nhiều 
Có nhiều người chê máy kém nhưng đó chỉ là suy nghĩ của mỗi người thôi",5,None,None,None,None,Positive,Negative,None,None,None,None
Sản phẩm rất tốt. Rát tiện và hay. Camera ổn net. Có điều rất thích máy này là tự động chỉnh ánh sáng khi ra ngoài nắng và khi vào trong. Rất tuyệt vời đáng đồng tiền,5,None,Positive,None,Positive,Positive,None,Positive,None,None,None
"Sản phẩm dùng rất thích.Máy chạy nhanh pin bền màu sắc trang nhã đẹp mắt.Hệ điều hành chạy ổn định,chụp ảnh đẹp",5,Positive,Positive,Positive,None,Positive,Positive,None,None,None,None
Máy mua dc 2 tháng. Chơi liên quân bật chưa max cấu hình mà hay bị giật lag. Fps từ 60 giảm xuống còn  5. Giật là ko chơi dc. Cảm thấy thất vọng,3,None,None,None,None,Negative,Negative,None,None,None,None
Vân tay đúng tệ..mua chiều giờ mở được 4 lần. Liên quân thì có giật lag tí xíu khi giao chiến,3,None,None,None,Negative,None,Negative,None,None,None,None
"Máy mình không chơi game chỉ lướt face ,xem YouTube tầm 1 tiếng mà pin hụt nhanh ghê còn nóng nữa,bắt sóng yếu còn hay bị lag, điện thoại không làm gì để qua đêm hụt hơn 6%:)))",3,Negative,None,None,Negative,None,Negative,None,None,None,None
"máy đẹp cầm khá chắt tay .nhân viên tư vấn nhiệt tình , vui vẻ .kết rồi đó nha .........",5,None,None,Positive,None,None,None,None,None,Positive,None
Cái gì cũng đc riêng viềng cam sau lm tệ quá bị tróc hết lớp mạ...................,5,None,None,Negative,None,Neutral,None,None,None,None,None
Tại sao con redmi note 8 pro mình mua hôm 20 /6 chỉ là bản miui 11.0.4 mà nó lại k đc cập nhập lên miui bản 11.0.6.0 là sao note 8 pro đc cập nhập lên rủi mà,4,None,None,None,None,None,Negative,None,None,None,None
Sản phẩm nhỏ gọn vân tay mượt chơi game ko lắc rất ok nhân viên hỗ trợ nhiệt tình,5,None,None,Positive,Positive,Positive,Positive,None,None,Positive,None
sao gọi điện nghe loa thoại nhỏ quá đứng ngoài đường không nghe được gì mặc dù tăng max volum,1,None,None,None,Negative,None,None,None,None,None,None
Thiết kế đẹp chíp ổn hiệu năng tốt còn pin 4000mAh thì quá ổn sử dụng dk 2 ngày còn camera chụp hình cũng đẹp,5,Positive,Positive,Positive,None,None,Positive,None,None,None,None
Đã dùng gần 3 tuần .máy k dùng gì tắt hết wifi 4g để qua đêm vẫn tụt 9%pin .k yên tâm về pin chút nào cả,1,Positive,None,None,None,None,None,None,None,None,None
Điện thoại ngon bổ rẻ chơi game ko lát chi nong may thôi như Free Fire liên quan PUPG,4,None,None,None,None,Positive,Neutral,Positive,None,None,None
Đội ngũ chăm sóc khách hàng rất tốt. Đổi trả ko hề phàn nàn. Tôi yên tâm khi mua hàng ở tgdd,5,None,None,None,None,None,None,None,None,Positive,None
Hình ảnh cực tệ. với giá tiền này quá cao không bằng cả những dòng máy trên 2tr. hình ảnh video không có chút gì là thực .hối hận vì đã chót mua. các bác đừng nên mua máy thì năng.,1,None,None,Negative,None,Negative,None,Negative,Negative,None,None
So với con 20s thì con này cấu hình mạnh hơn..kiểu dáng ok hơn nhưng thời gian sử dụng pin kém hơn 20s mặc dù ko có chơi game,3,Negative,None,Positive,None,None,Positive,None,None,None,None
"Mình dùng gần tháng , máy xài ngon, mình ít chơi game .
Nv tư vấn nhiệt tình chu đáo.",5,None,None,None,None,Positive,Neutral,None,None,Positive,None
"Máy thực sự quá đẹp và đẳng cấp, khả năng hoàn thiện phải nói là tốt nhất của samsung từ trước đến nay, màn hình tràn viền sexy và đẹp nhất thế giới, hiệu năng thì quá mượt mà rồi, thực sự xứng đáng với số tiền bỏ ra..",5,None,None,Positive,None,None,Positive,Positive,None,None,None
"Đã dùng được 6 tháng và đã up lên MIUI 11.4 từ lâu nhưng hoàn toàn không gặp lỗi như các bạn kia bình luận, tuy nhiên thỉnh thoản mái hơi chậm khi chuyển đổi giữa các ứng dụng. Camera thì cả camera trước và sau chụp đêm quá ưng ý trong tầm giá. Nếu so con này với iphone 7 thì mình sẽ chọn con này ",5,None,Positive,None,None,None,Negative,None,None,Positive,None
Điện thoại tốt. Tôi dùng thấy okay. Sẽ giới thiệu với người khác để biết sản phẩm này,5,None,None,None,None,Positive,None,None,None,None,None
Mới xài hơn 1tháng.Rất mau nóng và lag .phí 7tr .xài răt bực bội bấm chữ hay bị dính .videol thì bị lấy và chậm máy lại,2,None,None,None,Negative,None,Negative,Negative,None,None,None
"Máy mới mua xong chưa thấy lỗi gì , tác vụ ổn máy pin trâu ,loa to , ổn trong tầm giá , có tính năng của những máy cao cấp ""màn hình cạnh""",5,Positive,None,None,Positive,Positive,Neutral,Neutral,None,None,None
Sản phẩm tốt nhưng pin thì hao nhanh quá vân tay thì có chút vấn đề nói chung thì khá ok ,4,Negative,None,None,Negative,Positive,None,None,None,None,None
Tôi dùng đc 2 tháng. Con này cái gì cũng ok. Mỗi cảm biến tiệm cận cực kỳ tệ. Nhiều khi để lên nghe mà màn hình vẫn sáng chạm vào tai trượt thanh trạng thái xuống rồi chạm thay đổi cài đặt lung tung. Khó chịu.,4,None,None,None,Negative,Positive,None,None,None,None,None
"Vừa cập nhật, rất tốt,  pin cực ổn,  sài cả ngày không lo và  ram trống nhiều hơn ,  giá nào chất lượng máy ấy thôi,  Samsung đã làm rất tốt ",5,Positive,None,None,None,Positive,Positive,Neutral,None,Positive,None
máy đẹp pin tốt cấu hình khủng rất thích máy này chơi liên quân rất mượt chụp hình đẹp,5,Positive,Positive,Positive,None,None,Positive,None,None,None,None
"Sau hơn 1 tuần trải nghiệm và sử dụng . Thấy máy khá ok . Ổn . Mượt , không có gì có thể làm chậm hay làm khó với con chip A12 bionic . Chụp ảnh đẹp . Và tiện lợi hơn là sử dụng 2 sim sóng sánh rất ok . 
Chỉ có 1 điểm duy nhất về mặt hình thức đó là thiết kế quá xấu . Viền màn hình với khung xương máy còn đút lọt đồng tiền polyme ( có bác nào bị trường hợp đấy không ạ ???)",4,None,Positive,Negative,Positive,Positive,Positive,None,None,None,None
đã xài  và cảm thấy rất Okie sản phẩm rất mượt chụp ảnh đẹp chơi game cũng được nhưng đôi khi Lag hỗ trợ đa nhiệm và chất lượng độ Phân giải của tấm nền Amoled cực kì ấn tượng -->   đáng Mua,5,None,Positive,None,None,Positive,Neutral,None,Positive,None,None
Sản phẩm tốt trong tầm giá máy mượt đã nhiệm tốt pin để qua đêm chỉ hao 1-2 % pin trâu dùng chơi game liên tục 4h chỉ tốn 55-60% (liên quân) trong tầm giá thì quá ok ,5,Positive,None,None,None,Positive,Positive,Neutral,None,None,None
"Cám ứng kém thật , chơi game giât lag , ko mượt bằng j7 thế mới hài chứ . Đúng la quảng cáo",5,None,None,None,Negative,None,Negative,None,None,None,None
"Lần đầu tiên xài điện thoại của hãng Xiaomi thấy xài khá OK, chơi game ổn, pin trâu có điều camera lồi ra khá bất tiện và chơi game lâu thì hơi nóng, nhân viên tư vấn nhiệt tình. Nói chung khá ngon trong tầm giá ",5,Positive,None,Negative,None,Positive,Neutral,None,None,Positive,None
E mới mua dt reno 2f dc 12 ngày sử dụng tốt nhưng sau em không sài thì không tốn pin cho lắm e sạc đầy pin để qua đêm chỉ hao 8 đến 9% nhưng khi em sử dụng thì hao rất nhanh chưa đến 1 phút thì đã hao 1% pin e sử dụng 10 phút thì hao tận 8% pin tình trạng mấy e có bị gì không ạ e có thể đổi mấy mới dc ko,5,Negative,None,None,None,Positive,None,None,None,None,None
"Quá chán. Ram 3g mà không chạy được gì hết đứng máy, văng liên tục. Thua xa cái j7 2g cùi còn chạy 1 lần 2 acc chơi cả tiếng mới văng 1 lần. Cái này mới mua mà chạy 1 acc văng miết. Cam thì xấu. Quét mã QR cam kéo dài hình ra không nhận được mã QR. Hiện tại không thể sử dụng quét mã được. Wf yếu. Sóng đt,4g yếu.",1,None,Negative,None,Negative,Negative,Negative,None,None,None,None
Sản phẩm khá ngon trong tầm giá. Chơi game vẫn ok dù máy hơi nóng và pin k trâu lắm,5,Negative,None,None,None,Positive,Neutral,Neutral,None,None,None
"Sài được không lâu máy lang dô YouTube ,zingmp3 Google..... Đều bị dăng ra buộc phải khởi động lại ,pin sài từ từ thì thấy mua hao lắm",2,Negative,None,None,None,None,Negative,None,None,None,None
